timestamp, participantId, designVersion, elementId, videoCurrentTime, currentFrameId, videoPlayStatus
2023-12-27T17:33:11+0100,730173982768303,0,playPauseButton,13.7,685,play
2023-12-27T17:33:15+0100,730173982768303,0,playPauseButton,16.801648,840,pause
2023-12-27T17:33:16+0100,730173982768303,0,,16.801648,840,pause
2023-12-27T17:33:18+0100,730173982768303,0,,16.801648,840,pause
2023-12-27T17:33:18+0100,730173982768303,0,visBtn_1,16.801648,840,pause
2023-12-27T17:33:20+0100,730173982768303,0,playPauseButton,16.802415,840,play
2023-12-27T17:33:22+0100,730173982768303,0,playPauseButton,18.422487,921,pause
2023-12-27T17:33:26+0100,730173982768303,0,,18.422487,921,pause
2023-12-27T17:33:28+0100,730173982768303,0,addBtn,18.422487,921,pause
2023-12-27T17:33:28+0100,730173982768303,0,addDesignBtn,18.422487,921,pause
